,codigo,sintomas
0,A00,"Large amounts of watery diarrhea, vomiting, muscle cramps[2][3]"
5,A01.0,"Fever that starts low and increases daily, possibly reaching as high as 104.9 °F (40.5 °C)
Headache, Weakness and fatigue, Muscle aches, Sweating, Dry cough, Loss of appetite and weight loss, Stomach pain, Diarrhea or constipation, Rash, Swollen stomach (enlarged liver or spleen)"
11,A02.0,"Diarrhea, fever, abdominal cramps, vomiting[1]"
16,A03,"Diarrhea, fever, abdominal pain[1]"
29,A04.5,"Diarrhea, abdominal pain, fever"
31,A04.7,"Diarrhea, fever, nausea, abdominal pain[1]"
36,A05.1,"Weakness, trouble seeing, feeling tired, trouble speaking"
42,A06,"Bloody diarrhea, abdominal pain[3]"
43,A06.0,"Bloody diarrhea, abdominal pain[3]"
56,A07.2,"Watery diarrhea, nausea, abdominal pain, fever"
57,A07.3,Sudden onset watery acute non-bloody diarrhea
92,A17.0,Fever[1]
113,A20.0,"Fever, headaches, vomiting, swollen lymph nodes[1][2]"
115,A20.2,"Fever, headache, shortness of breath, cough[1]"
120,A21,"Fever, skin ulcer, large lymph nodes[3]"
128,A22,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
129,A22.0,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
130,A22.1,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
131,A22.2,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
135,A23,coughing
157,A27,"None, headaches, muscle pains, fevers[5]"
158,A27.0,"None, headaches, muscle pains, fevers[5]"
163,A28.1,"Bump at the site of the bite or scratch, swollen and painful lymph nodes[2]"
168,A30.0,Decreased ability to feel pain[3]
181,A32,"Diarrhea, fever, headache"
187,A33,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing[1]"
188,A34,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing[1]"
190,A36,"Sore throat, fever, barking cough[2]"
197,A37,"Runny nose, fever, cough[1]"
202,A38,"Sore throat, fever, headaches, swollen lymph nodes, characteristic rash[1]"
204,A39.0,"Flu-like symptoms, stiff neck, altered mental status, seizures, purpura"
248,A48.1,"Cough, shortness of breath, fever, muscle pains, headaches[2]"
250,A48.3,"Fever, rash, skin peeling, low blood pressure[1]"
270,A51,"Firm, painless, non-itchy skin ulcer[1]"
278,A52,"Firm, painless, non-itchy skin ulcer[1]"
279,A52.0,"Firm, painless, non-itchy skin ulcer[1]"
280,A52.1,"Firm, painless, non-itchy skin ulcer[1]"
281,A52.2,"Firm, painless, non-itchy skin ulcer[1]"
289,A54,"None, burning with urination, vaginal discharge, discharge from the penis, pelvic pain, testicular pain[1]"
295,A54.5,"Sore throat, fever, runny nose, cough, headache, hoarse voice[1][2]"
309,A59,"Itching in the genital area, bad smelling thin vaginal discharge, burning with urination, pain with sex[1][2]"
310,A59.0,"Itching in the genital area, bad smelling thin vaginal discharge, burning with urination, pain with sex[1][2]"
322,A66,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
326,A66.3,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
328,A66.5,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
346,A69.2,"Expanding area of redness at the site of a tick bite, fever, headache, tiredness[1]"
350,A71,"Eye pain, blindness[2]"
358,A75,"Fever, headache, rash[1]"
373,A79.0,fever
377,A80,Muscle weakness resulting in an inability to move[1]
385,A81.0,"Early: memory problems, behavioral changes, poor coordination, visual disturbances[4]Later: dementia, involuntary movements, blindness, weakness, coma[4]"
386,A81.1,"Behavior changes, seizures, spasticity, poor coordination, coma"
390,A82,"Fever, fear of water, confusion, excessive salivation, hallucinations, trouble sleeping, paralysis, coma[1][2]"
395,A83.0,"Headache, fever, vomiting, confusion, seizures[1]"
397,A83.2,"high fever, muscle pain, altered mental status, headache, meningeal irritation, photophobia, and seizures"
427,A92.0,"Fever, joint pain[2]"
430,A92.3,"None, fever, headache, vomiting or diarrhea and muscle aches rash[1]"
431,A92.4,"Fever, muscle pains, headaches[1]"
432,A92.5,"Fever, red eyes, joint pain, headache, maculopapular rash, Sometimes none[1][2][3]"
441,A95,"Fever, chills, muscle pain, headache, yellow skin[3]"
448,A96.2,"Fever, headaches, bleeding[1]"
451,A97,"Fever, headache, muscle and joint pain, rash[1][2]"
454,A97.2,"Fever, headache, muscle and joint pain, rash[1][2]"
457,A98.0,"Fever, muscle pains, headache, vomiting, diarrhea, bleeding into the skin[1]"
460,A98.3,"Fever, weakness, myalgias[1]"
461,A98.4,"Fever, sore throat, muscular pain, headaches, diarrhoea, bleeding[1]"
478,B01.2,"Small, itchy blisters, headache, loss of appetite, tiredness, fever[1]"
486,B02.7,Painful rash occurring in a stripe[1]
489,B03,"
Early: Fever, vomiting, mouth sores[5]
Later: Fluid filled blisters which scab over[5]
"
490,B04,"Fever, headache, muscle pains, blistering rash, swollen lymph nodes[1]"
491,B05,"Fever, cough, runny nose, inflamed eyes, rash[3][4]"
503,B07,"Painless, small, rough skin growth[1][3]"
506,B08.1,"Small, raised, pink lesions with a dimple in the center[1]"
509,B08.4,"Fever, flat discolored spots or bumps that may blister[1][2]"
513,B15,"Nausea, vomiting, diarrhea, dark urine, jaundice, fever, abdominal pain[1]"
516,B16,"None, yellowish skin, tiredness, dark urine, abdominal pain[1]"
527,B18,"Yellowish skin, poor appetite, abdominal pain[1][2]"
576,B26,"Parotitis and non-specific symptoms such as fever, headache, malaise, muscle pain, and loss of appetite"
583,B27,"Fever, sore throat, enlarged lymph nodes in the neck, tiredness[2]"
588,B30,"Reddish eye, scratchiness[1]"
596,B33.0,"intermittent pleuritic chest pain, intermittent abdominal pain, fever"
610,B35,"Red, itchy, scaly, circular skin rash[1]"
612,B35.1,"White or yellow nail discoloration, thickening of the nail[2][3]"
613,B35.2,"Diffuse scaling, itch and prominent creases on palms[2]"
614,B35.3,"Itching, scaling, redness of the foot[3]"
622,B36.1,"One or more dark brown/black, painless spots on palms or soles[3]"
627,B37,"White patches or vaginal discharge, itching[2][3]"
628,B37.0,"White patches or vaginal discharge, itching[2][3]"
663,B41,"Fever, sepsis, weight loss, large glands, large liver and spleen,[4] mouth ulcers, skin lesions.[5]"
668,B42,Firm painless nodules that later ulcerate.[3]
687,B45,"
Lung: Cough, difficulty breathing, chest pain and fever.[5]
Brain: Headache, fever, neck pain, nausea, vomiting, light sensitivity, confusion, change in behaviour.[5]
Skin: Nodules with dead tissue.[6]
"
690,B45.2,"
Lung: Cough, difficulty breathing, chest pain and fever.[5]
Brain: Headache, fever, neck pain, nausea, vomiting, light sensitivity, confusion, change in behaviour.[5]
Skin: Nodules with dead tissue.[6]
"
697,B46.1,"Depends on location: runny nose, black area of skin, facial swelling, headache, fever, cough, blurred vision[5][6]"
699,B46.3,"Depends on location: runny nose, black area of skin, facial swelling, headache, fever, cough, blurred vision[5][6]"
704,B47,"Triad: painless firm skin lump, multiple weeping sinuses, grainy discharge[1]"
705,B47.0,"Swelling, weeping pus filled sinuses, deformity.[3]"
713,B48.4,"skin lesions, fever, anaemia, large lymph glands,large liver.[2] Sometimes none.[4]"
714,B48.5,"
Lungs: Cough, difficulty breathing, fever.[4]
Disseminated: Depends on affected organ[5]
Skin: Lump or fluid in ear[6]
"
735,B55,"Skin ulcers, fever, low red blood cells, enlarged liver[2][3]"
738,B55.2,"Skin ulcers, fever, low red blood cells, enlarged liver[2][3]"
740,B56,"Stage 1: Fevers, headaches, itchiness, joint pains[1]Stage 2: Trouble sleeping, confusion, poor coordination[2][1]"
744,B57,"Fever, large lymph nodes, headache[1]"
751,B58,"Often none, during pregnancy (birth defects)[1][2]"
759,B60.0,"fever, chills, headache, fatigue[1]"
761,B60.2,"Fever, vomiting, stiff neck, seizures, poor coordination, confusion"
775,B66.3,"Abdominal pain, nausea, yellow skin"
776,B66.4,"Fever, malaise, cough, chest pain[1]"
780,B67,Variable[1]
791,B68,"None, weight loss, abdominal pain[1]"
795,B69,1–2 cm lumps under the skin[1]
808,B72,Painful blister that a white worm crawls out of
809,B73,"Itching, bumps under the skin, blindness[1]"
818,B75,"Initially: diarrhea, abdominal pain, vomiting[1]Later: swelling of the face, inflammation of the whites of the eyes, fever, muscle pains, rash[1]"
819,B76,"Itchiness, localized rash, abdominal pain, diarrhea[1]"
824,B77,"Abdominal swelling, abdominal pain, diarrhea, shortness of breath[1]"
828,B78,"abdominal pain, diarrhea, weight loss, itching and rash"
831,B78.7,"abdominal pain, diarrhea, weight loss, itching and rash"
833,B79,"Abdominal pain, tiredness, diarrhea[1]"
834,B80,Itchy anal area[1]
857,B85.3,"Itch, scratch marks, grey-blue marks, visible lice and nits"
859,B86,"itchiness, pimple-like rash[2]"
1147,C45,"Shortness of breath, swollen abdomen, chest wall pain, cough, feeling tired, weight loss[1]"
1153,C46,Purple colored skin lesions[4]
1354,C81,"Fever, night sweats, weight loss, non-painful enlarged lymph nodes[2]"
1356,C81.1,"Fever, night sweats, weight loss, non-painful enlarged lymph nodes[2]"
1357,C81.2,"Fever, night sweats, weight loss, non-painful enlarged lymph nodes[2]"
1358,C81.3,"Fever, night sweats, weight loss, non-painful enlarged lymph nodes[2]"
1410,C90.0,"Bone pain, fatigue[2]: 653 "
1482,D03,"Mole that is increasing in size, has irregular edges, change in color, itchiness, or skin breakdown.[1]"
1493,D04,Hard lump with a scaly top or ulceration.[1]
1770,D46,"None, feeling tired, shortness of breath, easy bleeding, frequent infections[3]"
1798,D50,"Feeling tired, weakness, dizziness, headache, lightheadedness, breathlessness, decreased ability to concentrate, confusion, pallor[1]"
1811,D52.0,"Feeling tired, pale skin, weakness, shortness of breath, feeling like passing out[1]"
1812,D52.1,"Feeling tired, pale skin, weakness, shortness of breath, feeling like passing out[1]"
1816,D53.0,"Feeling tired, pale skin, weakness, shortness of breath, feeling like passing out[1]"
1818,D53.2,"Weakness, feeling tired, changes to hair, sore arms and legs, gum disease, easy bleeding[1][2]"
1828,D56,"Feeling tired, pale skin, enlarged spleen, yellowish skin, dark urine[1]"
1829,D56.0,"Jaundice, Fatigue[1]"
1836,D57,"Attacks of pain, anemia, swelling in the hands and feet, bacterial infections, stroke[1]"
1852,D59.3,"Early: Bloody diarrhea, vomiting, fever
                     Later: Low platelets, low red blood cells, kidney failure[1]"
1879,D64.4,Weakness[2]
1905,D70,"Rigors, fever, sore throat, rapid infection"
1921,D74,"Headache, dizziness, shortness of breath, nausea, poor muscle coordination, blue-colored skin[2]"
1922,D74.0,"Headache, dizziness, shortness of breath, nausea, poor muscle coordination, blue-colored skin[2]"
1951,D81.4,Hepatosplenomegaly[2]
1959,D82.1,"Varied; commonly congenital heart problems, specific facial features, cleft palate[7]"
1976,D86,"Depends on the organ involved[2]Lungs: wheezing, cough, shortness of breath, chest pain[3]Skin: lumps, ulcers, discolored skin[3]Children: weight loss, bone pain, feeling tired[3]"
1990,E00,"Goiter, mental impairment, poor growth, infertility, hair loss"
2038,E10,"Frequent urination, increased thirst, increased hunger, weight loss[4]"
2049,E11,"Increased thirst, frequent urination, unexplained weight loss, increased hunger[3]"
2117,E22.2,"Lack of appetite, nausea, vomiting, abdominal pain, seizures and coma[1]"
2123,E23.2,"Large amounts of dilute urine, increased thirst[1]"
2127,E24,"High blood pressure, abdominal obesity with thin arms and legs, reddish stretch marks, round red face, fat lump between the shoulders, weak muscles, acne, fragile skin[2]"
2139,E26,Nocturia
2140,E26.0,"High blood pressure, poor vision, headaches, muscular weakness, muscle spasms[1][2]"
2141,E26.1,Nocturia
2147,E27.2,"Fever, lethargy, hyperkalemia, hyponatremia, hypotension, diarrhea, vomiting, convulsions[1]"
2156,E28.2,"Irregular menstrual periods, heavy periods, excess hair, acne, pelvic pain, difficulty getting pregnant, patches of thick, darker, velvety skin[3]"
2185,E34.4,"Abnormal growth in height or size, weakness and insomnia[1]"
2213,E51,"Wet: Fast heart rate, shortness of breath, leg swelling[1]Dry: Numbness, confusion, trouble moving the legs, pain[1]"
2214,E51.1,"Wet: Fast heart rate, shortness of breath, leg swelling[1]Dry: Numbness, confusion, trouble moving the legs, pain[1]"
2215,E51.2,"Ataxia, ophthalmoplegia, confusion"
2224,E54,"Weakness, feeling tired, changes to hair, sore arms and legs, gum disease, easy bleeding[1][2]"
2225,E55,Usually asymptomatic
2239,E61.2,"Tremor, poor coordination, nystagmus, seizures[1]"
2260,E66,Increased fat[1]
2274,E70.0,"Without treatment intellectual disability, seizures, behavioral problems, mental disorders, musty odor[1]"
2294,E73,"Abdominal pain, bloating, diarrhea, flatulence, nausea[1]"
2317,E76.1,"Skeletal abnormalities, hearing loss, retinal degeneration, enlarged liver and spleen"
2339,E79.1,"self harm, dystonia, chorea, spacicity, intellectual disability, hyperuricemia,"
2343,E80.0,"Depending on subtype—abdominal pain, chest pain, vomiting, confusion, constipation, fever, seizures, blisters with sunlight[1][2]"
2347,E80.4,"Strong abdominal pain, nausea, tired and weak feeling, slight jaundice[1]"
2360,E84,"Difficulty breathing, coughing up mucus, poor growth, fatty stool[1]"
2365,E85,"Feeling tired, weight loss, swelling of the legs, shortness of breath, bleeding, feeling light headed with standing[2]"
2373,E86,"headache, fatigue, nausea, profuse sweating, dizziness"
2380,E87.5,"Palpitations, muscle pain, muscle weakness, numbness[1][2]"
2381,E87.6,"Feeling tired, leg cramps, weakness, constipation, abnormal heart rhythm[1]"
2407,F01,Cognitive impairment
2409,F01.1,Cognitive impairment
2436,F06.7,"Can include memory impairments (amnestic) or cognitive problems like impaired decision making, language, or visuospatial skills (non-amnestic)"
2556,F20,"Hallucinations (usually hearing voices), delusions, paranoia, confused thinking[2][3]"
2557,F20.0,"Hallucinations (usually hearing voices), delusions, paranoia, confused thinking[2][3]"
2559,F20.2,"Immobility, mutism, staring, posturing, rigidity, etc."
2560,F20.3,"Hallucinations (usually hearing voices), delusions, paranoia, confused thinking[2][3]"
2562,F20.5,"Hallucinations (usually hearing voices), delusions, paranoia, confused thinking[2][3]"
2566,F21,"strange thinking or behavior, unusual beliefs, paranoia, severe anxiety, lack of friends"
2568,F22.0,Strong false belief(s) despite superior evidence to the contrary
2579,F25,"Hallucinations, delusions, disorganized thinking, depressed mood, manic behavior[1]"
2593,F31,Periods of depression and elevated mood[4][5]
2611,F33,"Low mood, low self-esteem, loss of interest in normally enjoyable activities, low energy, pain without a clear cause[1]"
2620,F34.0,Periods of depression and elevated mood[1]
2621,F34.1,"Low mood, low self-esteem, loss of interest in normally enjoyable activities, low energy, pain without a clear cause[2]"
2629,F40,Fear of an object or situation[1]
2630,F40.0,"Anxiety in situations perceived to be unsafe, panic attacks[1][2]"
2631,F40.1,"Social isolation, hypervigilance, feeling of inferiority, low self-esteem, difficulty socializing with others"
2637,F41.1,"Excessive worry, restlessness, trouble sleeping, feeling tired, irritability, sweating, trembling[1]"
2642,F42,"Feel the need to check things repeatedly, perform certain routines repeatedly, have certain thoughts repeatedly[1]"
2650,F43.1,"Disturbing thoughts, feelings, or dreams related to the event; mental or physical distress to trauma-related cues; efforts to avoid trauma-related situations; increased fight-or-flight response[1]"
2655,F44.0,Reported memory loss[1]
2666,F45.0,"Variable physical symptoms that can include headaches, generalized pain, changes in bowel movements, fatigue, weakness, pain with sex,[1] distress about these symtoms"
2667,F45.1,"Variable physical symptoms that can include headaches, generalized pain, changes in bowel movements, fatigue, weakness, pain with sex,[1] distress about these symtoms"
2668,F45.2,"Excessive and persistent fear of, or preoccupation with, having or developing a severe illness"
2669,F45.3,"fatigue upon exertion, shortness of breath, palpitations, sweating, chest pain"
2675,F48.1,"Depersonalization,
Derealization"
2678,F50,Abnormal eating habits that negatively affect physical or mental health[1]
2679,F50.0,"Low weight, fear of gaining weight, strong desire to be thin, food restrictions[1] body image disturbance"
2681,F50.2,"Eating a large amount of food in a short amount of time followed by vomiting or the use of laxatives, often normal weight[1][2]"
2699,F52.2,Inability to gain or maintain an erection
2716,F60.0,"Paranoid delusions, pervasive suspiciousness, generalized mistrust of others, hypersensitivity, scanning of environments for clues or suggestions that may validate fears or biases"
2717,F60.1,"Pervasive emotional detachment, reduced affect, lack of close friends, apathy, anhedonia, unintentional insensitivity to social norms, sexual abstinence, preoccupation with fantasy,[1] autistic thinking without loss of skill to recognize reality[2]"
2718,F60.2,"Pervasive deviance, deception, impulsivity, irritability, aggression, recklessness, manipulation
and callous and unemotional traits"
2719,F60.3,"Unstable relationships, sense of self, and emotions; impulsivity; recurrent suicidal behavior and self-harm; fear of abandonment; chronic feelings of emptiness; inappropriate anger; feeling detached from reality[6][7]"
2720,F60.4,"Persistent attention seeking, exhibitionism"
2721,F60.5,Obsession with rules and order; perfectionism; excessive devotion to productivity; inability to delegate tasks; zealotry on matters of morality; rigidity and stubbornness
2723,F60.7,"Avoidance of decision-making, fear of abandonment, passive and clingy behavior, low social boundaries, oversensitivity to criticism"
2733,F63.0,"Spending a lot of money and time in casino/sports betting, Video game addiction[1]"
2736,F63.3,"Visible hair loss, distress[1][2]"
2739,F64,Distress related to one's assigned gender or sex[1][2][3]
2747,F65.1,Excessive sexual or erotic interest in cross-dressing
2766,F70,"Intellectual developmental disability (IDD), general learning disability[1]"
2771,F71,"Intellectual developmental disability (IDD), general learning disability[1]"
2776,F72,"Intellectual developmental disability (IDD), general learning disability[1]"
2781,F73,"Intellectual developmental disability (IDD), general learning disability[1]"
2805,F81.1,"Poor and inconsistent handwriting, Poor spelling and spacing, Other transcription difficulties in absence of oral language difficulties"
2813,F84.0,"Trouble with social interaction, verbal and nonverbal communication, and presence of restricted interests and repetitive behavior[1]"
2815,F84.2,"Impairments in language and coordination, and repetitive movements, slower growth, smaller head[3]"
2818,F84.5,"Problems with social interaction, non-verbal communication, restricted interests, and repetitive behavior[7]"
2823,F90,"Difficulty paying attention, excessive activity, executive dysfunction, difficulty controlling behavior"
2824,F90.0,"Difficulty paying attention, excessive activity, executive dysfunction, difficulty controlling behavior"
2825,F90.1,"Difficulty paying attention, excessive activity, executive dysfunction, difficulty controlling behavior"
2883,G03.1,"Fever, headache, neck stiffness[1]"
2905,G10,"Problems with motor skills, including coordination and gait, mood, and mental abilities[1][2]"
2906,G11,"
Lack of coordination
Slurred speech
Trouble eating and swallowing
Deterioration of fine motor skills
Difficulty walking
Gait abnormalities
Eye movement abnormalities
Tremors
Heart problems
"
2926,G20,"Tremor, rigidity, slowness of movement, difficulty walking[1]"
2928,G21.0,"High fever, confusion, rigid muscles, variable blood pressure, sweating[1]"
2937,G23.0,"Dystonia, parkinsonism, dementia"
2944,G24.0,"Involuntary, repetitive body movements[1]"
2963,G30,"Difficulty in remembering recent events, problems with language, disorientation, mood swings[1][2]"
2977,G35,"Bladder overactivity, bowel (constipation, bowel incontinence), cognition problems (anxiety, depression, limited critical thinking, learning, and planning), fatigue, hearing impairment or loss, mobility problems (dizziness – vertigo, lightheadedness, coordination issues, tremor), muscle problems (spasms, stiffness, and/or weakness), numbness and/or tingling, pain (stabbing pains in the face, feeling of burning, pins and needles, hugging or squeezing in the trunk and limbs), sexual problems (erectile dysfunction, ejaculation issues, decrease in vaginal lubrication and sensation), speech and/or swallowing difficulties, sensation problems, vision problems (double vision, blindness in one eye) [1] [2]
Symptoms may not present all at once, may come and go, and range from mild to severe.[3]"
2992,G40,"Periods of vigorous shaking, nearly undetectable spells[1]"
3003,G41,"Regular pattern of contraction and extension of the arms and legs, movement of one part of the body, unresponsive[1]"
3009,G43,"Headaches, nausea, sensitivity to light, sensitivity to sound, sensitivity to smell[1][2]"
3012,G43.2,"Headaches, nausea, sensitivity to light, sensitivity to sound, sensitivity to smell[1][2]"
3027,G45.3,Temporary fleeting of vision in one or both eyes
3045,G47.3,"Pauses breathing or periods of shallow breathing during sleep, snoring, tired during the day[1][2]"
3050,G50.0,"Typical: episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutes[1]Atypical: constant burning pain[1]"
3055,G51.0,"Inability to move the facial muscles on one side, change in taste, pain around the ear[1]"
3094,G56.0,"Numbness, tingling in the thumb, index, middle finger, and half of ring finger.[1][2]"
3097,G56.3,Wrist drop[1]
3101,G57.0,Buttock pain that is worse with sitting[2]
3126,G61.0,"Muscle weakness beginning in the feet and hands, usually ascending[2]"
3147,G70.0,"Varying degrees muscle weakness, double vision, drooping eyelids, trouble talking, trouble walking[1]"
3153,G71.0,"Increasing weakening, breakdown of skeletal muscles, trouble walking[1][2]"
3176,G80,"
Poor coordination
Stiff muscles
Weak muscles
Tremors[1]
"
3184,G81,Loss of motor skills on one side of body
3200,G83.4,"Low back pain, pain that radiates down the leg, numbness around the anus, loss of bowel or bladder control[1]"
