,codigo,sintomas
3215,G91,"Babies: rapid head growth, vomiting, sleepiness, seizures[1]Older people: Headaches, double vision, poor balance, urinary incontinence, personality changes, mental impairment[1]"
3217,G91.1,"Babies: rapid head growth, vomiting, sleepiness, seizures[1]Older people: Headaches, double vision, poor balance, urinary incontinence, personality changes, mental impairment[1]"
3226,G93.2,"Headache, vision problems, ringing in the ears with the heartbeat[1][2]"
3227,G93.3,"Worsening of symptoms with activity, long-term fatigue, others[1]"
3230,G93.6,"Headache, nausea, vomiting, decreased consciousness, seizures"
3231,G93.7,"Vomiting, personality changes, confusion, seizures, loss of consciousness[1]"
3265,H00.1,"Red, non painful cyst in middle of the eyelid[2]"
3267,H01.0,crusty eyelids
3310,H10,"Reddish eye, scratchiness[1]"
3316,H10.5,"Reddish eye, scratchiness[1]"
3334,H15.0,"Eye redness, pain, photophobia, tearing, decrease in visual acuity"
3335,H15.1,Eye redness without painWatery eyes
3358,H18.6,"Blurry vision, nearsightedness, light sensitivity[3]"
3368,H20,"Headaches, red eyes, blurred vision, photophobia, burning and redness of the eye"
3387,H25,"Faded colors, blurry vision, halos around light, trouble with bright lights, trouble seeing at night[1]"
3395,H26.1,"Faded colors, blurry vision, halos around light, trouble with bright lights, trouble seeing at night[1]"
3414,H30.2,"Heat, pain, redness, swelling"
3453,H36.0,"May have no symptoms; blurry vision, vision loss, blindness"
3455,H40,"Vision loss, eye pain, mid-dilated pupil, redness of the eye, nausea[1][2]"
3457,H40.1,"Vision loss, eye pain, mid-dilated pupil, redness of the eye, nausea[1][2]"
3478,H44.2,"Distant objects appear blurry, close objects appear normal, headaches, eye strain[1]"
3504,H49,Nonaligned eyes[2]
3529,H52.0,"Near blur, Distance and near blur, Asthenopia[2]"
3530,H52.1,"Distant objects appear blurry, close objects appear normal, headaches, eye strain[1]"
3531,H52.2,"Distorted or blurred vision at all distances, eyestrain, headaches[1]"
3533,H52.4,"Difficulty reading small print, having to hold reading material farther away, headaches, eyestrain[1]"
3543,H53.5,Decreased ability to see colors[3]
3570,H60,"Ear pain, swelling of the ear canal, decreased hearing,[2] difficulty chewing"
3573,H60.2,"Ear pain, swelling of the ear canal, decreased hearing,[2] difficulty chewing"
3596,H65.2,"Ear pain, fever, hearing loss[1][2]"
3601,H66.0,"Ear pain, fever, hearing loss[1][2]"
3625,H72,"conductive hearing loss, tinnitus, ear pain, vertigo"
3654,H81.0,"Feeling like the world is spinning, ringing in the ears, hearing loss, fullness in the ear[3][4]"
3655,H81.1,Repeated periods of a spinning sensation with movement[1]
3692,H93.1,Hearing sound when no external sound is present[1]
3716,I05.0,"
dyspnea on exertion, orthopnea and paroxysmal nocturnal dyspnea
Palpitations
Chest pain
Hemoptysis
Ascites, edema and hepatomegaly
Late Stage:

Thromboembolism
"
3729,I07.1,Ascites[1]
3741,I09.0,"Shortness of breath, chest pain, decreased ability to exercise, irregular heartbeat[1]"
3743,I09.2,"Fever, multiple painful joints, involuntary muscle movements, erythema marginatum[1]"
3759,I15.0,"High BP,kidney dysfunction[1]"
3765,I20.0,"chest pain or chest discomfort at rest, lasting for less than 30 minutes, or a new onset chest pain or discomfort on exertion."
3769,I21,"Chest pain, shortness of breath, nausea, feeling faint, cold sweat, feeling tired; arm, neck, back, jaw, or stomach pain[1][2]"
3795,I25,"Chest pain, shortness of breath[4]"
3797,I25.1,"Chest pain, shortness of breath[4]"
3801,I25.5,Sudden fatigue
3805,I26,"Shortness of breath, chest pain, coughing up blood[1]"
3809,I27.0,"Chest pain, fatigue[3]"
3825,I31.0,"Sharp chest pain, better sitting up and worse with lying down, fever[1]"
3826,I31.1,"Sharp chest pain, better sitting up and worse with lying down, fever[1]"
3839,I34.0,"Heart murmur, shortness of breath during exercise or laying down, fatigue, palpitations, swollen feet or ankles[1]"
3846,I35.1,"Dyspnea on exertion, Orthopnea[1]"
3857,I37.0,"Cyanosis, dizziness[2]"
3870,I40,"Shortness of breath, chest pain, decreased ability to exercise, irregular heartbeat[1]"
3880,I42,Shortness of breathFeeling tiredSwelling of the legs[1]
3881,I42.0,"Feeling tired, leg swelling, shortness of breath, chest pain, fainting[2]"
3897,I44.0,Asymptomatic
3898,I44.1,"Dizziness, Fainting, Shortness of breath"
3899,I44.2,"Dizziness, Fainting, Shortness of breath, Sudden cardiac death"
3915,I46,"Loss of consciousness, abnormal or no breathing[1][2]"
3921,I47.1,"Palpitations, feeling faint, sweating, shortness of breath, chest pain.[1]"
3922,I47.2,"Lightheadedness, palpitations, chest pain[2]"
3925,I48.0,"None, heart palpitations, fainting, shortness of breath, chest pain[2][3]"
3940,I50,"Shortness of breath, feeling tired, leg swelling[3][4]"
3941,I50.0,"Shortness of breath, feeling tired, leg swelling[3][4]"
3942,I50.1,"Shortness of breath, feeling tired, leg swelling[3][4]"
3950,I51.5,Shortness of breathFeeling tiredSwelling of the legs[1]
3959,I60,"Severe headache of rapid onset, vomiting, decreased level of consciousness[1]"
3970,I61,"Headache, one-sided weakness, vomiting, seizures, decreased level of consciousness, neck stiffness, fever[1][2]"
4015,I67.4,"Headache, vomiting, trouble with balance, confusion[1]"
4033,I70,None[1]
4060,I73.0,"An affected part turning white, then blue, then red, burning[2]"
4078,I77.4,"Epigastric pain, anorexia, Weight loss"
4084,I78.0,"Nosebleeds, Gastrointestinal bleeding"
4103,I82.1,Skin redness[1]
4113,I85,vomiting blood passing black stool
4121,I86.4,vomiting blood passing black stool
4139,I95,"Dizziness, clumsiness, giddiness, headaches, lightheadedness, fatigue, nausea, blurred vision, shakiness, breathlessness, increased thirst, irregular heartbeat, chest pain, fever, seizures"
4141,I95.1,"symptoms that are worse when sitting or standing and improve when lying down, including lightheadedness, vertigo, tinnitus, slurred speech, confusion, coathanger pain in neck and shoulders, grayed or blurred vision, severe fatigue, fainting or near fainting"
4152,I98.0,"Firm, painless, non-itchy skin ulcer[1]"
4159,J01,"Thick nasal mucus, plugged nose, pain in the face, fever[1][2]"
4160,J01.0,"Thick nasal mucus, plugged nose, pain in the face, fever[1][2]"
4167,J02,"Sore throat, fever, runny nose, cough, headache, hoarse voice[1][2]"
4168,J02.0,"Fever, sore throat, large lymph nodes[1]"
4171,J03,"Sore throat, fever, enlargement of the tonsils, trouble swallowing, large lymph nodes around the neck[1][2]"
4172,J03.0,"Fever, sore throat, large lymph nodes[1]"
4176,J04.0,"Hoarse voice, fever, pain[1][2]"
4178,J04.2,"""Barky"" cough, stridor, fever, stuffy nose[2]"
4216,J16.0,"None, vaginal discharge, discharge from the penis, burning with urination[1]"
4230,J20,"Cough with sputum, wheezing, shortness of breath, fever, chest discomfort[1][2]"
4241,J21,"Fever, cough, runny nose, wheezing, breathing problems[1]"
4256,J31.2,"Sore throat, fever, runny nose, cough, headache, hoarse voice[1][2]"
4257,J32,"Thick nasal mucus, plugged nose, pain in the face, fever[1][2]"
4265,J33,"Trouble breathing through the nose, loss of smell, decreased taste, post nasal drip, runny nose[1]"
4277,J35.0,"Sore throat, fever, enlargement of the tonsils, trouble swallowing, large lymph nodes around the neck[1][2]"
4283,J36,"Fever, throat pain, trouble opening the mouth, change to the voice[1]"
4285,J37.0,"Hoarse voice, fever, pain[1][2]"
4309,J43,"Shortness of breath, chronic cough[1]"
4311,J43.1,"Shortness of breath, chronic cough[1]"
4312,J43.2,"Shortness of breath, chronic cough[1]"
4320,J45,"Recurring episodes of wheezing, coughing, chest tightness, shortness of breath[2]"
4325,J46,"Anxiety, panic, laboring to breath, tightened neck and chest muscles, difficulty performing normal daily activities[1]"
4326,J47,"Productive cough, shortness of breath, chest pain[2][3]"
4378,J80,"Shortness of breath, rapid breathing, bluish skin coloration Chest pain or pressure, Loss of speech of movement[1]"
4391,J86,"Fever, chest pain with breathing in, cough, shortness of breath"
4399,J93,"Chest pain, shortness of breath, tiredness[2]"
4406,J94.1,Breathlessness
4407,J94.2,Chest painDifficulty breathing
4440,K00.1,supernumerary teeth coming out from the gum or in the mouth
4452,K02,"Pain, tooth loss, difficulty eating[1][2]"
4493,K06.1,increase in gum size
4539,K12.0,"A round, painful sore inside your mouth that is white or gray with a red border;
Tingling or burning sensation prior to sore development;

Fever, sluggishness, and/or swollen lymph nodes (severe cases only)"
4554,K14.1,Burning sensation (rare)
4563,K21,"Taste of acid, heartburn, bad breath, chest pain, breathing problems[6]"
4581,K25,"Heartburn, upper abdominal pain, nausea, belching, vomiting, blood in the stool, weight loss, weight gain, bloating, loss of appetite[1] yellowing of the skin and whites of the eyes difficulty swallowing"
4591,K26,"Heartburn, upper abdominal pain, nausea, belching, vomiting, blood in the stool, weight loss, weight gain, bloating, loss of appetite[1] yellowing of the skin and whites of the eyes difficulty swallowing"
4632,K30,Upper abdominal pain[1]
4644,K35,"Right lower abdominal pain, vomiting, decreased appetite[2]"
4657,K40,"Pain, bulging in the groin[1]"
4702,K51,"Abdominal pain, diarrhea mixed with blood, weight loss, fever, anemia[1]"
4727,K56.2,"Abdominal pain, abdominal bloating, vomiting, constipation, bloody stool[1][2]"
4742,K58,"Diarrhea, constipation, abdominal pain[1]"
4748,K59.0,"Infrequent or hard to pass bowel movements, abdominal pain, bloating[2][3]"
4749,K59.1,"Loose frequent bowel movements, dehydration[2]"
4776,K62.7,"Pelvic pain, tenesmus, diarrhea, urgency, hematochezia"
4797,K65,"Severe pain, swelling of the abdomen, fever[2][3]"
4798,K65.0,"Severe pain, swelling of the abdomen, fever[2][3]"
4814,K70.0,"None, tiredness, pain in the upper right side of the abdomen[1][2]"
4817,K70.3,"Tiredness, itchiness, swelling in the lower legs, jaundice, easily bruising, fluid build-up in the abdomen[1]"
4842,K74.0,"Tiredness, itchiness, swelling in the lower legs, jaundice, easily bruising, fluid build-up in the abdomen[1]"
4845,K74.3,"Cholestasis, pruritus, fatigue"
4854,K75.4,"Often asymptomatic, fatigue, right upper abdominal pain, anorexia, nausea, jaundice, joint pain, rash"
4863,K76.5,"Weight gain, tender enlargement of the liver, ascites, jaundice"
4864,K76.6,Ascites[1]
4871,K80,"None, crampy pain in the right upper abdomen[2][3][4]"
4879,K81,"Intense right upper abdominal pain, nausea, vomiting, fever[1]"
4880,K81.0,"Intense right upper abdominal pain, nausea, vomiting, fever[1]"
4881,K81.1,"Intense right upper abdominal pain, nausea, vomiting, fever[1]"
4893,K83.0,"jaundice, fever and abdominal pain"
4919,K90.0,"None or non-specific, abdominal distention, diarrhoea, constipation, malabsorption, weight loss, dermatitis herpetiformis[1][2]"
4920,K90.1,"Diarrhoea, abdominal pain, weight loss"
4936,K92.0,Vomiting bright blood
4937,K92.1,Dark blood in stool
4946,L01,"Yellowish skin crusts, painful[2][3]"
4957,L03,"Red, hot, painful area of skin, fever[1][2]"
4960,L03.2,"Red, hot, painful area of skin, fever[1][2]"
4961,L03.3,"Red, hot, painful area of skin, fever[1][2]"
4962,L03.8,"Red, hot, painful area of skin, fever[1][2]"
4964,L04,"fever; Hard, fixed, rapidly growing nodes, indicating a possible cancer or lymphoma; night sweats; Runny nose; sore throat"
4971,L05,"Pain, swelling, redness, drainage of fluid[1]"
5006,L20,"Itchy, red, swollen, cracked skin[2]"
5010,L21,"Itchy, flaking, greasy, red, and inflamed skin[2][3]"
5055,L28.0,"Thick leathery skin, exaggerated skin markings, small bumps, patches, scratch marks, scale[1]"
5058,L29,Compulsion to scratch an irritated area of skin
5069,L30.3,"Itchiness, red skin, rash[1]"
5074,L40,"Red (purple on darker skin), itchy, scaly patches of skin[3]"
5075,L40.0,"Red (purple on darker skin), itchy, scaly patches of skin[3]"
5091,L42,"Single red and slightly scaly area, followed"
5108,L50,"Red, raised, itchy bumps[1]"
5109,L50.0,"Red, raised, itchy bumps[1]"
5110,L50.1,"Red, raised, itchy bumps[1]"
5113,L50.4,"Red, raised, itchy bumps[1]"
5114,L50.5,Tiny very itchy wheals and small bumps on a reddish background.[1]
5115,L50.6,"Red, raised, itchy bumps[1]"
5178,L63,"Areas of hair loss, usually on the scalp[2]"
5185,L64.0,"Areas of hair loss, usually on the scalp[2]"
5214,L70,"Blackheads, whiteheads, pimples, oily skin, scarring[1][2]"
5215,L70.0,"Blackheads, whiteheads, pimples, oily skin, scarring[1][2]"
5223,L71,"Facial redness, swelling, and small and superficial dilated blood vessels[2][3]"
5224,L71.0,"Papules, pustules, red skin"
5237,L73.2,Multiple inflamed and swollen skin lesions[2]
5254,L80,Patches of white skin[1]
5273,L85.3,"Low skin moisture, itching, scaling, skin cracking"
5320,L94.4,"Rash, muscle weakness, weight loss, fever[1]"
5345,M00,"Red, hot, painful single joint[2]"
5408,M10,"Joint pain, swelling, and redness[4]"
5416,M11.0,Chronic shoulder pain during activities; acute shoulder pain
5505,M22.2,Pain in the front of the knee[1]
5558,M32,"Painful and swollen joints, fever, chest pain, hair loss, mouth ulcers, swollen lymph nodes, feeling tired, red rash[1]"
5577,M35.2,"Mouth sores, genital sores, inflammation of the eye, arthritis,[1] chronic fatigue"
5578,M35.3,"Shoulder, neck and hip pain[1]"
5582,M35.7,"Joint hypermobility, musculoskeletal pain, fatigue[1]"
5599,M41,Sideways curve in the back[2]
5622,M45,"Back pain, joint stiffness[2]"
5639,M48.0,"Pain, numbness, or weakness in the arms or legs[1]"
5681,M54.3,"Pain going down the leg from the lower back, weakness or numbness of the affected leg[1]"
5708,M62.6,"Bruise, swelling, redness and soreness"
5720,M65.2,Chronic shoulder pain during activities; acute shoulder pain
5721,M65.3,"Catching or locking of the involved finger, pain[2][3]"
5746,M70.2,"Swelling, redness, and pain at the tip of the elbow[1][2]"
5768,M72.6,"Severe pain, fever, purple colored skin in the affected area[3]"
5776,M75.0,"Shoulder pain, stiffness[1]"
5777,M75.1,"Shoulder pain, weakness[1]"
5779,M75.3,Chronic shoulder pain during activities; acute shoulder pain
5791,M76.5,Pain at the front of the knee[1]
5792,M76.6,"Pain, swelling around the affected tendon[1]"
5798,M77.1,Painful and tender outer part of the elbow[1]
5813,M79.7,"Widespread pain, feeling tired, sleep problems[3][4]"
5826,M81.0,Increased risk of a broken bone[3]
5862,M85.5,"Pain, swelling, pressure related neurological symptoms[1]"
5866,M86,"Pain in a specific bone, overlying redness, fever, weakness[1]"
5876,M87,"Joint pain, decreased ability to move[1]"
5968,N00,Oliguria[2]
6001,N03,Oliguria[2]
6012,N04,"Swelling, weight gain, feeling tired, foamy urine[1]"
6107,N18,"Early: None[2]Later: Leg swelling, feeling tired, vomiting, loss of appetite, confusion[2]"
6148,N30,"Pain with urination, frequent urination, feeling the need to urinate despite having an empty bladder[1]"
6149,N30.0,"Pain with urination, frequent urination, feeling the need to urinate despite having an empty bladder[1]"
6201,N40,"Frequent urination, trouble starting to urinate, weak stream, inability to urinate, loss of bladder control[1]"
6222,N44,"Severe testicular pain, elevated testicle[1]"
6232,N48.3,Penis remains erect for hours[3]
6254,N60,"Breast pain, breast cysts, breast masses[2]"
6256,N60.1,"Breast pain, breast cysts, breast masses[2]"
6258,N60.3,"Breast pain, breast cysts, breast masses[2]"
6259,N60.4,"nipple retraction, inversion, pain, green-brown discharge"
6318,N80,"Pelvic pain, infertility[1]"
6330,N81.1,"Trouble starting urination, incomplete urination, urinary incontinence, frequent urination[1]"
6353,N83.5,Pelvic pain[2]
6434,N94.2,Pain with sex[2]
6435,N94.3,"Acne, tender breasts, cramps, bloating, feeling tired, sore throat, mood changes[1]"
6473,O00,"Abdominal pain, vaginal bleeding[1]"
6475,O00.1,"Abdominal pain, vaginal bleeding[1]"
6485,O02.1,Vaginal bleeding with or without pain[1]
6488,O03,Vaginal bleeding with or without pain[1]
6567,O14,"High blood pressure, protein in the urine[1]"
6570,O14.2,"Feeling tired, retaining fluid, headache, nausea, upper abdominal pain, blurry vision, seizures[1]"
6572,O15,"Seizures, high blood pressure[1]"
6579,O20.0,Vaginal bleeding with or without pain[1]
6591,O22.2,Skin redness[1]
6714,O42,Painless gush or a steady leakag of fluid from the vagina[1]
6725,O44,Bright red vaginal bleeding without pain[1]
6828,O72,"Significant blood loss after childbirth, increased heart rate, feeling faint upon standing, increased breath rate[1][2]"
6890,O85,"Fever, lower abdominal pain, bad-smelling vaginal discharge[1]"
7103,P23,"Cough, difficulty breathing, rapid breathing, fever[1]"
7157,P35.3,"None, yellowish skin, tiredness, dark urine, abdominal pain[1]"
7172,P37.1,"Often none, during pregnancy (birth defects)[1][2]"
7176,P37.5,"White patches or vaginal discharge, itching[2][3]"
7350,P94.2,Muscle weakness
7364,Q00.0,Absence of the cerebrum and cerebellum
7366,Q00.2,Neural malformations
7373,Q02,"Abnormally small head and brain, neurological impairments"
7374,Q03,"Babies: rapid head growth, vomiting, sleepiness, seizures[1]Older people: Headaches, double vision, poor balance, urinary incontinence, personality changes, mental impairment[1]"
7389,Q05,"Hairy patch, dimple, dark spot, swelling on the lower back[1]"
7424,Q11.2,Abnormally small eyeball(s)
7494,Q21.1,asymptomatic
7496,Q21.3,"Episodes of bluish color to the skin, difficulty breathing, heart murmur, finger clubbing[2]"
7511,Q23.0,"Decreased ability to exercise, loss of consciousness, shortness of breath, heart related chest pain, leg swelling[1]"
7513,Q23.2,"
dyspnea on exertion, orthopnea and paroxysmal nocturnal dyspnea
Palpitations
Chest pain
Hemoptysis
Ascites, edema and hepatomegaly
Late Stage:

Thromboembolism
"
7525,Q24.6,slow heart rate[1]
7529,Q25.0,"Shortness of breath, failure to thrive, tachycardia, heart murmur"
7534,Q25.5,Cyanosis[1]
7565,Q30.0,"difficulty breathing, cyanosis"
7600,Q35,Opening in the upper lip that may extend into the nose or palate[1]
7606,Q36,Opening in the upper lip that may extend into the nose or palate[1]
7641,Q40.1,"Taste of acid in the back of the mouth, heartburn, trouble swallowing[1]"
7661,Q43.1,"Constipation, vomiting, abdominal pain, diarrhea, slow growth[1]"
7673,Q44.2,"Jaundice, pale stool, dark urine"
7801,Q66.0,Foot that is rotated inwards and downwards[2]
7883,Q76.0,"Hairy patch, dimple, dark spot, swelling on the lower back[1]"
7884,Q76.1,"Cervical spine fusion, scoliosis, spina bifida, heart defect, respiratory problems, other syndromic features"
7898,Q77.4,"Short arms and legs, enlarged head, prominent forehead[3]"
7905,Q78.0,"Bones that break easily, blue tinge to the sclera (whites of the eye), short height, joint hypermobility, hearing loss[5]"
7918,Q79.3,Intestines extend outside of the body through a hole next to the belly button[2]
7921,Q79.6,"Overly flexible joints, stretchy skin, abnormal scar formation[1]"
7929,Q80.4,"Very thick skin which cracks, abnormal facial features[3][4]"
7932,Q81,Painful skin blisters[2][3]
7940,Q82.1,"Severe sunburn after only a few seconds in the sun, freckling in sun-exposed areas, dry skin, changes in skin pigmentation[1]"
7955,Q84.0,Loss of hair from part of the head or body.[1]
7979,Q87.4,"Tall, thin build; long arms, legs and fingers; flexible fingers and toes[1]"
7991,Q90,"Delayed physical growth, characteristic facial features, mild to moderate intellectual disability[1]"
8036,Q96,"Webbed neck, short stature, swollen hands and feet[1]"
8037,Q96.0,"Webbed neck, short stature, swollen hands and feet[1]"
8045,Q97.0,"Tall stature, skeletal anomalies, minor neurocognitive and behavioural difficulties"
8057,Q98.5,"Being taller than average, acne, learning problems[1][2]"
8065,Q99.2,"Intellectual disability, long and narrow face, large ears, flexible fingers, large testicles[1]"
8083,R04.0,Bleeding from the nose[1]
8085,R04.2,Coughing up blood or bloody sputum
8094,R06.4,Rapid breathing to the point where the body eliminates more carbon dioxide than it can produce
8095,R06.5,"Snoring, dry mouth, hoarse voice, bad breath, fatigue"
8107,R09.1,Sharp chest pain[1]
8118,R12,"Burning, stabbing, or squeezing sensation in the chest, nausea, belching"
8119,R13,Inability or difficulty swallowing
8129,R18,"Increased abdominal size, increased weight, abdominal discomfort, shortness of breath[3]"
8137,R19.6,Unpleasant smell present on breath[1]
8168,R26.0,"
Lack of coordination
Slurred speech
Trouble eating and swallowing
Deterioration of fine motor skills
Difficulty walking
Gait abnormalities
Eye movement abnormalities
Tremors
Heart problems
"
8190,R33,"Sudden onset: Inability to urinate, low abdominal pain[1]Long term: Frequent urination, loss of bladder control, urinary tract infection[1]"
8212,R43.1,"inability to properly identify an odor's ""natural"" smell"
8266,R54,"Decreased ability to think and remember, emotional problems, problems with language, decreased motivation[2]"
8269,R56.0,Tonic-clonic seizure[1]
8272,R57.0,"Fatigue, rapid heartbeat,
shortness of breath, hypotension, sweating[2]"
8273,R57.1,"headache, fatigue, nausea, profuse sweating, dizziness"
8278,R59,"fever; Hard, fixed, rapidly growing nodes, indicating a possible cancer or lymphoma; night sweats; Runny nose; sore throat"
8283,R60.0,"Skin which feels tight, area may feel heavy[1]"
8295,R63.0,"Low weight, fear of gaining weight, strong desire to be thin, food restrictions[1] body image disturbance"
8303,R64,"sudden weight loss, altered eating signals"
8461,R95,Death of a child less than one year of age[1]
8492,S02.2,"Nose bleed, swelling, bruising[1][2]"
8496,S02.6,"Decreased ability to open the mouth, teeth will not properly aligned, bleeding of the gums[1]"
8529,S06,"Physical, cognitive, sensory, social, emotional, and behavioral symptoms"
8530,S06.0,"Headache, trouble with thinking, memory or concentration, nausea, blurry vision, sleep disturbances, mood changes[1]"
8531,S06.1,"Headache, nausea, vomiting, decreased consciousness, seizures"
8534,S06.4,"Headache, confusion, paralysis[1]"
8536,S06.6,"Severe headache of rapid onset, vomiting, decreased level of consciousness[1]"
8537,S06.7,"Physical, cognitive, sensory, social, emotional, and behavioral symptoms"
8553,S09.2,"conductive hearing loss, tinnitus, ear pain, vertigo"
8630,S22.3,Chest pain that is worse with breathing in[1]
8665,S27.0,"Chest pain, shortness of breath, tiredness[2]"
8789,S43.0,Shoulder pain
8849,S52.5,"Pain, bruising, and swelling of the wrist[1]"
8987,S72.2,"Pain around the hip particularly with movement, shortening of the leg[2]"
8994,S73.0,"Hip pain, trouble moving the hip[1]"
9041,S82.0,"Pain, swelling, bruising to front of the knee[1]"
9426,T33,"Numbness, feeling cold, clumsiness, pale color[1]"
9437,T34,"Numbness, feeling cold, clumsiness, pale color[1]"
9724,T68,"
Mild: Shivering, mental confusion[2]
Moderate: No shivering, increased confusion[2]
Severe: Paradoxical undressing, cardiac arrest[2]
"
9757,T75.3,"Nausea, vomiting, cold sweat, increased salivation[1][2]"
9765,T78.3,Area of swelling[1]
9774,T79.4,"Initial: Weakness, fast heart rate, fast breathing, sweating, anxiety, increased thirst[1]Later: Confusion, unconsciousness, cardiac arrest[1]"
11220,Y53.7,Nausea
